iter	RMSE
0	0.3676121753
1	0.3673610166
2	0.3671134013
3	0.3668933874
4	0.3666550623
5	0.3664598315
6	0.3662673312
7	0.366051877
8	0.3658475278
9	0.3656679362
10	0.3654640674
11	0.365278206
12	0.365113809
13	0.364966152
14	0.3648068273
15	0.3646374583
16	0.3644825828
17	0.364355402
18	0.3642094265
19	0.3640736648
20	0.3639311466
21	0.36379054
22	0.3636615031
23	0.3635357678
24	0.3633886966
25	0.3632686049
26	0.3631514791
27	0.3630260434
28	0.3629021766
29	0.3627962069
30	0.3626799291
31	0.3625768972
32	0.3624895821
33	0.3623881768
34	0.3622946447
35	0.3621919068
36	0.3621083855
37	0.3620125818
38	0.3619351181
39	0.361839817
40	0.3617699341
41	0.3616898133
42	0.3615988811
43	0.3615263577
44	0.361468527
45	0.3613848356
46	0.361318786
47	0.3612357043
48	0.3611654649
49	0.3610947237
50	0.3610128744
51	0.3609288867
52	0.3608520738
53	0.3607806457
54	0.3607164054
55	0.3606545552
56	0.3605990687
57	0.3605460237
58	0.3604805923
59	0.3604303826
60	0.3603659839
61	0.3603096094
62	0.3602611124
63	0.3602122509
64	0.3601642822
65	0.3601145243
66	0.3600730138
67	0.3600214814
68	0.3599775234
69	0.3599311927
70	0.3598896237
71	0.3598517574
72	0.3598092202
73	0.3597705356
74	0.3597157021
75	0.3596735189
76	0.3596270974
77	0.3595828546
78	0.3595384255
79	0.3594960909
80	0.3594568325
81	0.3594142764
82	0.3593747378
83	0.3593377002
84	0.3592976692
85	0.359269113
86	0.3592354995
87	0.3592062646
88	0.3591746012
89	0.359132108
90	0.3590991307
91	0.3590681247
92	0.3590388134
93	0.3590146965
94	0.3589816319
95	0.3589566602
96	0.358918074
97	0.3588876939
98	0.3588618269
99	0.3588320117
100	0.3588085696
101	0.3587754713
102	0.3587464609
103	0.3587220721
104	0.3586875804
105	0.358653677
106	0.3586263066
107	0.3585929096
108	0.3585716955
109	0.3585399698
110	0.3585213618
111	0.3584908451
112	0.3584729852
113	0.3584485302
114	0.3584202321
115	0.3583983415
116	0.3583752672
117	0.3583548398
118	0.3583277679
119	0.3583119765
120	0.3582877878
121	0.358262691
122	0.3582406628
123	0.3582209427
124	0.3582027803
125	0.3581803177
126	0.3581674139
127	0.3581445327
128	0.3581214393
129	0.3580954382
130	0.3580781446
131	0.3580558914
132	0.3580288169
133	0.3580034282
134	0.3579797607
135	0.3579710103
136	0.3579542493
137	0.3579331363
138	0.357916718
139	0.357905527
140	0.357887205
141	0.3578701412
142	0.3578491206
143	0.3578351509
144	0.357813146
145	0.3577922473
146	0.3577771259
147	0.3577637165
148	0.3577433783
149	0.3577225629
150	0.3577041504
151	0.3576828383
152	0.3576663255
153	0.3576487926
154	0.3576311848
155	0.3576114101
156	0.3575944486
157	0.3575814105
158	0.3575596109
159	0.3575400373
160	0.3575273246
161	0.3575122197
162	0.3574997662
163	0.3574863726
164	0.357468513
165	0.3574513616
166	0.3574352769
167	0.357423437
168	0.3574047276
169	0.357389408
170	0.3573761954
171	0.3573615431
172	0.357347745
173	0.3573302347
174	0.357313089
175	0.3572962176
176	0.3572829499
177	0.3572721498
178	0.3572621267
179	0.3572478931
180	0.3572356656
181	0.3572225134
182	0.3572150007
183	0.3572052037
184	0.3571921858
185	0.357183821
186	0.3571685677
187	0.3571563104
188	0.3571454828
189	0.357132003
190	0.3571265526
191	0.3571191346
192	0.3571097183
193	0.3571006886
194	0.3570848847
195	0.3570789348
196	0.3570736562
197	0.357062752
198	0.3570477119
199	0.3570383405
200	0.3570229794
201	0.3570121814
202	0.3569924004
203	0.3569833223
204	0.3569692832
205	0.3569596645
206	0.3569493719
207	0.3569362594
208	0.3569308137
209	0.3569194573
210	0.3569088162
211	0.356893479
212	0.3568768596
213	0.3568673125
214	0.3568600174
215	0.3568530372
216	0.3568428367
217	0.3568343585
218	0.3568282074
219	0.3568198295
220	0.3568141493
221	0.356804975
222	0.3567934413
223	0.3567800551
224	0.3567672542
225	0.3567581748
226	0.3567491344
227	0.3567417091
228	0.3567306268
229	0.3567251965
230	0.3567156304
231	0.3567061863
232	0.356694705
233	0.3566813451
234	0.3566712121
235	0.3566611742
236	0.3566482124
237	0.3566391166
238	0.3566337838
239	0.3566289143
240	0.3566221807
241	0.3566139034
242	0.3566037098
243	0.3565949123
244	0.3565871601
245	0.3565698913
246	0.356563142
247	0.3565574502
248	0.3565494511
249	0.3565432066
250	0.3565329988
251	0.3565235706
252	0.3565170121
253	0.3565076318
254	0.3564964815
255	0.3564867079
256	0.3564736081
257	0.3564649913
258	0.3564584266
259	0.35644696
260	0.3564419187
261	0.3564337044
262	0.3564272398
263	0.3564184169
264	0.356411283
265	0.3564008533
266	0.3563899651
267	0.3563861465
268	0.3563818433
269	0.3563751443
270	0.3563623348
271	0.3563552114
272	0.3563451742
273	0.3563377423
274	0.356326128
275	0.3563177148
276	0.3563034257
277	0.3562962338
278	0.3562893922
279	0.3562832557
280	0.3562790529
281	0.3562708448
282	0.3562587977
283	0.3562532753
284	0.3562477577
285	0.3562413063
286	0.3562381596
287	0.3562334597
288	0.3562282567
289	0.3562206551
290	0.3562118759
291	0.3561996242
292	0.3561945988
293	0.3561886848
294	0.3561835029
295	0.3561808816
296	0.3561732278
297	0.3561611754
298	0.3561504426
299	0.3561432546
300	0.3561349058
301	0.356129855
302	0.3561208295
303	0.3561106777
304	0.3561044437
305	0.3560984315
306	0.3560889789
307	0.3560789991
308	0.3560784094
309	0.3560702781
310	0.3560594479
311	0.3560531765
312	0.3560465599
313	0.3560381766
314	0.3560336301
315	0.3560298766
316	0.3560225938
317	0.3560110748
318	0.3560052468
319	0.356000943
320	0.3559927624
321	0.3559859023
322	0.3559768048
323	0.3559714667
324	0.3559612595
325	0.3559560435
326	0.3559464155
327	0.3559408194
328	0.355937833
329	0.3559326083
330	0.3559263327
331	0.3559227684
332	0.3559143438
333	0.3559101795
334	0.355907383
335	0.3559022812
336	0.3558959985
337	0.3558919177
338	0.3558787855
339	0.3558695181
340	0.355864806
341	0.3558563608
342	0.3558409426
343	0.3558336513
344	0.3558289652
345	0.3558238973
346	0.3558221761
347	0.3558120592
348	0.3558037004
349	0.3557970295
350	0.3557959598
351	0.355785842
352	0.3557766881
353	0.3557708625
354	0.3557669692
355	0.3557619942
356	0.355755197
357	0.3557477377
358	0.355740089
359	0.355737517
360	0.3557296561
361	0.355721872
362	0.3557172996
363	0.3557107536
364	0.3557039268
365	0.3556985254
366	0.3556915414
367	0.3556898588
368	0.3556864845
369	0.3556826148
370	0.355680757
371	0.3556774598
372	0.3556731587
373	0.3556681773
374	0.3556642101
375	0.3556592863
376	0.3556513574
377	0.3556451035
378	0.3556384371
379	0.3556296656
380	0.3556233697
381	0.3556138804
382	0.3556110195
383	0.3556046721
384	0.3555977598
385	0.3555926855
386	0.3555892913
387	0.3555840762
388	0.3555801228
389	0.3555730693
390	0.3555672996
391	0.3555625658
392	0.3555583499
393	0.3555468434
394	0.3555430585
395	0.3555397816
396	0.3555377502
397	0.3555303409
398	0.3555178035
399	0.355514103
400	0.3555043936
401	0.355498502
402	0.3554980559
403	0.355490141
404	0.3554874512
405	0.355482526
406	0.3554743525
407	0.3554685293
408	0.3554615384
409	0.3554578906
410	0.3554536309
411	0.3554438742
412	0.3554368555
413	0.3554297626
414	0.3554260259
415	0.355422159
416	0.3554136368
417	0.3554048656
418	0.3553997012
419	0.3553976556
420	0.3553929862
421	0.3553866398
422	0.3553805504
423	0.3553730973
424	0.3553686567
425	0.3553612868
426	0.3553509809
427	0.355344233
428	0.3553347536
429	0.3553297559
430	0.3553196654
